Target,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
A4GNT,-65.28566735554723,-45.35484373810432,-63.79170148429273,102.29907790815926,32.11286394469234,-108.69784093750592,-86.74643990389613,-82.38530626385584,-38.960610149699825,-53.49171954727434,21.61578438144737,58.53447116996824,-143.23133726909867,-433.09170375608517,-55.664633107039904,-46.18312690107685,-33.64947331685181,-49.7391381478305,-57.428784921393934,-197.87844968835714
AAAS,-23.164749894560142,-132.93005955051274,-23.506370073767847,-84.10914203749431,-26.380388438903037,-43.32479911353583,-5.786762721562262,-24.582776167675384,-26.57966012177865,-14.648856974011707,6.939186791045298,12.313089145856422,0.39977331913287806,-63.329076625335084,-28.401036962234546,-21.950595753935215,1.7908921094001489,-18.654736657197766,-23.167602937007402,-63.78591164259136
AACS,-14.935580001027716,-51.753380253998024,-46.99982912127482,-17.040691539024415,-54.227836010917585,-45.518202574625604,-55.353574732173094,-35.93753570874655,-51.453203198936464,-48.18007674326305,-26.942765531923843,-84.01743221484902,-183.6551647114046,-114.06657018473359,23.08963178428592,-43.48980404163926,-64.92054845450247,-55.008404738752155,12.568937629843127,-64.67141262629615
AADAC,14.002874432963338,-2.391190839713064,-22.32302663256169,133.82612350837684,-76.6108513721797,-43.794633642889536,-24.95135510405596,-7.397307867598133,-25.129284145407834,7.060076429059131,-158.43872282762197,-28.510448219472057,-86.4225989930757,186.69589277030352,-48.32821237759397,-28.452522080630665,31.366112161323112,-75.0880199194742,-28.694401829935085,-46.95621635353401
AADAT,29.97061136664457,31.4117383397236,-22.030444836808062,168.00110717535105,7.879229138169629,10.309388365546999,-45.575676673509314,-18.550407077932043,-26.257092239235504,-19.924491407229226,-134.04236961673374,32.30864266695147,35.86038229929102,-326.5172684947055,-7.0377623448702895,-9.649158911371607,11.615326222481217,-1.3795595977014194,-36.00052070247136,-34.67860317156921
AAGAB,18.135681629091234,-81.17883241426345,-32.20421702052637,-128.99063536197696,-12.292858295906086,-135.47956618276956,22.198495697177936,-24.92549569992355,-45.527553605133384,-30.33745974753092,-38.19766815344986,-37.22186317782618,183.81230527171996,-205.75327718289958,-14.369798874344436,-39.52542943238782,-24.584890783504754,-15.864904714918717,-35.276568441303425,-116.36350390783578
AAK1,26.987557928924215,27.73514764585211,-23.51629695987926,27.407450459364583,5.125795415098704,29.695842732912148,11.107228835195162,-19.55563140275344,-4.721544145356525,-7.266601928770204,-74.80329272864118,26.202784337438835,17.880639198307012,102.41604507204113,-8.288062538038929,-7.785180734926668,-106.98084342143693,-6.093803784580584,-8.74540976262169,7.988916354399884
AAMDC,61.574627646897724,-29.79071624586043,14.193103457714843,-14.543526609549946,-4.462729248699264,-57.98835250016837,47.32942347152367,43.8319540531605,-8.738331341226987,16.559297932679765,-87.00659715248624,144.53481581303652,15.127654151152356,-105.19791729130571,31.135692300532217,25.76982686705874,3.198706051418836,0.5714295048671021,32.32898706666064,-53.60484930676193
AARS1,-38.523713785551514,-15.120167107761535,-17.779202737578863,82.44435210868673,24.74074675890289,-26.562341077538534,-48.952220962499105,-22.071774169022227,-23.878769064675588,-12.701359088876272,77.92907917665825,-45.80032729853881,-78.22796853067476,-289.8417370669706,-12.398714881319567,-13.916536531954907,-27.189853039650977,-17.81752376754079,-8.138493409932192,8.97003054127793
AASS,135.30246340944532,180.6985697256211,112.55977811776468,142.95557056689498,118.80505891383437,149.88117910628705,133.7303043008099,103.13547441663675,124.68542553222031,104.69947532034371,102.67455155067728,148.14370347248172,137.78445419649657,94.8844108747365,115.3775833902942,119.1365013290596,105.71729868968887,127.63299066903924,117.29986235671016,162.27855750417172
ABCA2,-68.79438654645409,-5.5290291257908715,-23.793622524768544,-16.249786955556296,-24.38928715217924,41.97100029805188,-63.677272312427064,-16.107167370913857,-12.419112046616451,-53.68837720800392,11.19334511535309,-31.92619746436034,-43.5002251885589,68.92225321809553,-13.870312511953031,-56.727630921649954,-33.04207031877946,-1.0918081376588837,-22.130177302719222,-35.52720484224102
ABCA7,-56.36724246011727,-122.96267742976082,-60.970086271630194,-152.43426273149066,-69.25018640384634,-56.43688263646369,-26.12808704510468,-87.547565277515,-30.701486663450666,-73.51475574722461,-124.7894282365222,-50.75234243133857,-1.2732478051939307,-85.98466631093909,-41.351999039973826,-69.27508456071155,-74.21470757054844,-52.100435137636346,-70.69405053240388,-142.91123205397156
ABCB1,69.42279893795755,128.15491885796115,75.60406667738988,94.8481831049434,76.4425143842828,87.67459278820083,98.24487934069698,78.90007379231947,77.57868999709558,78.02885683842783,106.41064481974222,71.35530185383931,103.92352244003284,104.78610988275176,76.02553135368204,79.89981895417647,75.75636003606459,71.47397389932496,79.04740631882484,87.38946797012566
ABCB11,-6.445554460417634,-14.940668099412989,-14.77730352553307,-55.298916910151604,-20.49440437992473,37.50586746006787,-33.81634712043535,-68.40965334440342,-5.682422745021013,-18.240025101993478,-49.770602129405454,46.76449032331949,34.731155945247785,108.65804174210434,-21.87947804717085,-10.709903280284806,-3.3734178006892646,1.3332701347881328,-90.70211326512714,-32.80569456947045
ABCB4,29.575607871145472,77.5272181093757,18.046190067078527,51.56199389009365,39.534632257885285,151.03756828873796,-57.36603231181423,22.826478936448517,48.007664054077466,36.72727001136717,115.78522467785952,176.74239050725674,9.371152668176215,-273.01273551451237,26.825575609050432,25.966623453682764,85.6028520383856,56.450714380337075,18.19180272018015,7.050144017832353
ABCB5,46.58302676701401,66.79263868054245,43.08126269784809,18.302048871646086,82.78715139987413,10.048773978390235,84.28193757139603,62.56239795120608,81.7074189011037,57.87227054382154,147.1703712256204,58.93302653587567,72.95794040941395,151.96082358185885,56.281673473665954,58.24983850682012,68.24840561832298,53.0562529184812,54.1594702570746,53.65975177102902
ABCB6,-63.02752029398285,-130.21950522815732,-51.70871017612464,-8.532639141651988,-76.57949798539796,-89.67712759462484,-88.72327154538712,-58.9473976690976,-56.87365076379892,-55.401893462216115,-27.139588438241667,-87.22241110925367,-89.26133308931294,-50.61983197899296,-54.24720663181086,-46.608118110301334,-54.2355857004537,-40.66890331724133,-47.96046188018826,-35.337112323516024
ABCC1,-58.0837794811652,-64.34675586862353,-49.335507494477454,9.632916393765019,-44.643289326579385,-14.81368904169317,-55.94537839900487,-30.03486634956335,-50.98101981292355,-50.639682334074536,-360.06017952433655,-72.2310036571056,-60.90162040470972,104.94756924049058,-54.51140643540189,-45.57694240332904,-82.40174946611164,4.760776287408228,-46.21874713113818,-81.13207812506269
ABCC2,17.776954171424187,61.323239845081496,29.747820661329072,340.92867355835665,26.144612193423814,18.362243242491537,44.31209703243503,15.681856240763462,27.380991377344266,28.348655209609223,-20.71539611981698,66.6789784500675,38.684960229213054,-131.2327606249617,-0.45461942516687337,27.508864725550602,33.980365557308716,40.33219903471023,28.367934759003994,-53.728484904853225
ABCC3,-48.725878493950574,-34.00500052217411,-39.60172748491667,-159.04396466624627,-30.9450766504927,-32.086895935046016,-21.883604886416805,-30.169256449285314,19.420263358489926,-43.09686019499184,-105.66236182790514,115.6947242327769,-14.924911683385755,-102.31242614564088,-26.107264662376664,-41.77543178268368,-7.142065633272357,-43.09537479199134,-46.68760650794896,-136.51821955595403
ABCC5,23.13326313667273,-21.62905009878016,-21.109038766313642,-18.602407253900015,23.986198801590753,-61.958882313367525,-138.15411857454092,-59.22317150301932,-1.5604377717903826,-18.86761090798214,136.73647741592356,63.38317157236571,-160.32901872970135,168.55193884383596,-31.8511606137275,-24.55743731734601,-33.70790803276628,-7.394439893604029,-37.57349447832067,-56.26516071964765
ABCC6,-83.69217314840313,-143.7037278175201,-60.700145659988266,-136.78216278165354,-61.010656738262085,-105.74088733968394,-96.37710753868721,-11.008168949570797,-32.19203667207421,-56.922169596943995,-53.73679425428059,-28.590655218494597,-91.08034326432853,-143.72686379521517,-76.47516634996863,-66.73293970015999,-80.01448688431107,-82.73381355190178,-35.63180986070054,-88.6947211041677
ABCC8,-14.376009954030938,-80.76860659597625,-68.94298284181662,-194.1809758935733,-66.8561492125084,-19.501309701490207,-55.70476066465047,-71.30262588691734,-15.00031896191108,-64.18109107396104,-158.39358081224833,-18.77479147549284,-77.07023900427907,-46.81641100511219,-33.62716256858393,-63.94248844128643,-28.912003558065752,-30.93768598157164,-63.20586407809571,-98.67143851511698
ABCC9,94.72086541304077,93.98336127131064,86.52861490627433,124.87006372081403,93.32091302843796,121.41949212846592,100.04385617924697,89.87387027294686,96.82440264883445,92.84948429765232,116.014963217769,98.35237197792677,132.82670597276854,91.14935188065427,88.61539685034683,89.6699110365952,97.78058648406007,93.49884139821044,90.7342148771981,100.6269751593157
ABCD1,-66.92325462836878,-18.753863298195753,-47.52252510547538,-19.306813517465848,-59.49552599411304,-37.88821916185277,-45.48087883059078,-37.16789727395562,-63.303490385512895,-49.51567580780983,-150.01113751512023,-206.53875122512565,-47.160951704179304,21.288687654041688,-22.404447188271817,-47.19098204227077,-59.23600243191866,1.7420275876648201,-45.10867510639799,-46.319172606986754
ABCD3,-33.809146319360636,55.63117508615279,-101.09716162291068,-128.32803748447844,-17.06774242542708,-36.17787638994905,-60.17775516048418,-41.6345691578154,-34.42745620013291,-45.378479103985384,37.384390582134806,-124.50265821498505,51.39741142115685,-55.127543748021424,-50.176862381007176,-51.86616361989646,-122.3601466770426,-74.69971951608031,-52.25862043424959,-22.172962208306245
ABCD4,-31.849547170670082,-101.16800188892094,-24.404917684495267,-337.16989615138345,-39.4280529988934,38.1689363096815,11.308965667726351,-63.467599028383034,6.321213131462931,-18.951686299902274,55.855201003181435,-41.719864092203274,-11.438780657429378,-55.17994064639553,-29.92384514515628,-38.246678454175616,52.157555573859376,-97.63889177558879,-32.857243761137056,2.817784714616858
ABCF2,-59.219334260123716,-82.89807951008433,-73.15455257286736,-115.63213018911912,-51.59058968539228,-69.38041001825927,-75.37189423133135,-64.5654653394039,-81.12730314659007,-66.16122371857931,-151.24849974788918,-115.69759625597122,-54.44029270694273,-103.48222459085693,-60.37816772907336,-68.67131884482743,-37.132940115139725,-72.58785895167085,-41.85311081871843,-56.838514785210656
ABCG2,66.49231892727224,207.98632277577622,60.481668923720186,78.32642471206881,74.39172365701096,88.45911701548587,77.71027591973936,61.79698949816812,51.521029022776084,66.97728918893573,46.8310969168803,74.41752947355255,47.8312140839684,133.1171704303202,58.19105849807011,64.10186414987517,65.2425668477222,60.57782401302728,60.94737418392782,90.48875541215494
ABHD11,-84.12687567748988,-79.9254560861801,-66.81497395357376,-112.20972520299456,-98.79428605708982,-129.59379079712335,-73.33788004980552,-21.28189873486313,-83.96322402687423,-70.76914695856493,-29.008017416534116,-72.9846601097399,-123.42509174615125,-81.72274470911383,-68.81825270133149,-65.38954594554146,-41.89401664291761,-61.42063330189006,-61.69627458120983,-47.234269474421254
ABHD12,-51.54289305859582,-108.50826053842061,-41.85335608576208,-66.18040745089617,-44.52814620869751,-66.56085674753831,-41.04546891732088,-44.063900168545395,-39.49865565171769,-47.97504334121852,-75.28007961717579,-38.10691471020987,-71.6314334935702,-71.53567307909901,-45.60463916810025,-42.989646276877885,-49.90489936626098,-29.146541927562833,-38.79217606331514,-57.307977110643336
ABHD14A-ACY1,-0.306536962898194,-24.22135173554303,-42.685943078431805,-112.37063516613429,-12.452892254265334,-17.015275857561306,-1.1390836196344765,-39.82286276993941,-26.231150381298477,-100.21977541023904,-113.93981251672547,-53.762861896665925,59.23305496738393,2.8854187234619273,-37.813026783860366,-38.178237885622444,-96.87637140921866,-18.870176340821615,-39.90600753706015,-6.87691182598479
ABHD14B,-33.81796880428199,-35.44987886257984,-21.42938046089532,-76.30611499963662,-37.2853312091201,-43.68787724560135,-30.218331387171077,-30.864448655028568,-0.5979044125523219,-24.25848200820493,-59.583218773078706,-74.80166066814729,38.62742392985535,-86.93065573759196,-4.820267672155625,-23.98722792839434,-32.96140449470485,-30.492849748876317,23.944062390379734,-10.448361071846659
ABHD17B,13.620251366983055,97.74190291019127,1.8266702678834235,43.24886606903616,5.8832460650668885,11.948845470226365,-19.085404937792593,-14.584754470470862,-68.68736316604362,-2.736534317822107,80.89866572106939,-40.84193348866857,-19.7684658937474,-13.609445108284879,-38.57186059442856,-2.446224221300053,-2.5483518516374333,9.162960066761375,-26.331671255124846,112.38520003154052
ABHD4,-97.03610748042813,-24.74580954663052,-64.08281047913148,39.00864462662373,0.5501970946482855,55.9392175241205,-22.58988689895616,-8.134651074622099,3.9386265916096237,-6.580068414181069,23.141315679785567,-212.6788692811176,37.16135394277319,66.90648940239667,-35.656475926364706,-21.14361347920502,-84.59981705095686,13.476468663440716,-20.774565851143045,183.5332013792124
ABHD5,64.10156888343496,-243.89652360594334,-28.12810347444401,42.46835251010847,-48.71271032709031,-87.88689477509408,21.20747995170278,-68.8370748414148,-46.002032837245615,-32.53867513566648,-71.08400376078308,-171.22885045514536,82.944776217721,125.24365994084914,-28.346619049821825,-25.25671929988494,-198.42745706691514,-14.111420242089368,-33.45137486524971,149.44227715802865
ABI3,-70.43772280103721,22.91561224559459,-41.213402163695584,-264.2204147586327,-59.94411374508395,44.75530537775135,-84.26891651075135,-49.686077367363865,27.603653082807256,-42.40929978288381,-229.54819215115603,-31.31019290214144,83.21640154120966,20.189638445586777,-41.92954129586872,-41.119242093780514,-50.20461726020853,-19.905184135047946,-42.1879214947596,-89.53170706202523
ABITRAM,52.21439076186528,-40.9855784582617,-30.96613818322158,-56.56178353281685,-41.97766173658623,6.180845480636744,3.200278473998468,-0.38996997817461176,-34.8612661057655,-41.376204296767284,-89.47959423049569,-123.8373570715214,-27.203347279460136,-104.07302621638998,-43.21356292427607,-41.65005952025088,-38.349373996265925,-73.48669973245501,-23.673580660651485,128.75212325128768
ABL1,-2.469665196921472,-62.61535365773425,-11.243053492667194,97.68163057810195,2.4033684263156143,75.87834905156416,-47.03746393932972,-20.078979507585245,12.236582280995089,-9.834158412058608,50.80181413527779,-42.310543602889275,-91.40172332178321,59.46951214047361,-13.915590778304562,-45.84434267284828,12.903237205057678,-0.7621727626959158,-23.82000650194949,22.307434795928895
ABLIM1,126.0790996733265,163.11885955008142,120.02353286335618,124.28177444795395,120.83605380247212,135.64425839269418,135.99509260974148,122.39878575011454,122.89668458935333,116.98031655154074,197.81497859861548,136.57156323366777,105.02972563066946,188.66363119396462,125.40081840860452,113.1523406164758,119.21212182188368,126.50884824397575,124.00289300556153,107.73193700722881
