TF,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
ALX4,-1720.4455580131664,-1250.6545899000391,-2198.1729514498343,-1343.7803107301756,-2033.4557401352001,-1984.0940922381662,-2224.350644011628,-2298.607924051754,-2154.3447898712434,-2164.2962094876307,-1992.5791527932029,-2089.823145797291,-2301.8117295002944,-1851.1013241045725,-2086.193153116538,-2289.1068757493085,-2310.9730843487364,-2102.3038388739033,-2290.531408385004,-1767.256128802144
ARX,-1614.7038473629602,-938.4254779487172,-2143.2711134876463,-782.3538704834369,-1912.4637881394992,-1769.0712565574038,-2155.425157576476,-2241.0887759769826,-2132.4939015375708,-2116.969892134922,-2028.4532476777201,-1847.5515753530046,-2342.336294140558,-1756.4191312074763,-1957.163780178484,-2255.5482494529338,-2302.172527944204,-1973.1830215341429,-2236.8484767828577,-1603.3757026475198
ATF2,-468.1965135713042,-323.1309764273035,-549.491303820883,-319.58079818556996,-648.4628617162259,-438.8713749120107,-620.5053661241625,-629.6520622504778,-579.3325909857851,-618.0793702819382,-418.97037970471206,-519.3804113908226,-685.3447212048852,-706.9595776888206,-548.623564948008,-563.6964755720065,-674.7446781565926,-560.8813759762119,-742.4935308092964,-394.2531655586148
ATF6,-844.2275547308635,-602.3715688281299,-979.493370449426,-1020.1380235115191,-1153.7203262513958,-898.6423483591656,-938.8375065332218,-1007.3946210337683,-930.7590687725202,-874.694975680115,-606.0061691999131,-819.4320527480572,-958.6278198955575,-711.3553850686509,-911.8637450301215,-969.793209864584,-601.6426284946256,-932.5069076601502,-928.5412944851696,-1160.704462301966
BACH2,-1234.1169939888177,-828.3254577587855,-1455.603835353923,-889.4722817864675,-1413.598821235456,-1238.0639780128445,-1490.392684171141,-1528.210171615681,-1426.3652543752307,-1444.8465881025988,-1443.062233724384,-1226.0781519110794,-1620.768153768021,-1376.1847181585285,-1411.9156065105274,-1464.8479691450968,-1555.3525931040383,-1462.3487829058201,-1569.3495798680233,-1209.3100826022605
BARX2,12.394282249875522,634.7926693696329,-527.6649088915566,1359.4689420846094,-229.03290014879587,-149.50010438715856,-593.0982755359524,-699.2012038029432,-692.0911492189584,-538.5353150916736,-1341.8803961937354,-393.5368497853486,-913.4416937366456,-497.0177212675033,-492.5949418078782,-617.3959004957483,-781.6947336258903,-403.1058158407847,-640.1544432805736,-101.74527779755932
BCL6,-595.7858829961875,-23.661423025742838,-1008.9753377864532,-335.4043254370404,-759.0157629233033,-615.7716097366158,-982.3308090251348,-1120.6888727800556,-908.1985938555065,-1004.0155295352,-1021.9337429996308,-830.7641578816099,-1241.0609281111435,-772.3088208116857,-927.8042656295214,-1008.3422174782494,-1189.7055141893677,-878.3206295605834,-1052.3690957989538,-707.9362732186324
CDX1,-318.97271522131484,292.07878403868716,-723.2327366019031,732.7138233201182,-420.57943652994516,-463.1800321378816,-856.1163188194291,-976.3292439750694,-787.6146467731521,-855.1942709617823,-1299.4974109045345,-510.97689101685694,-1124.3157661754524,-809.8912712706621,-792.6885755519423,-970.3451185385928,-1139.0326240021243,-604.6848001067019,-937.2110518836581,-540.748297109696
CEBPE,-2395.7038444874215,-2100.9301312420935,-2545.37740839555,-2101.498619215218,-2419.179819283277,-2392.9582954905745,-2545.8516181896875,-2548.1514352800627,-2544.9241985261674,-2507.430478989862,-2222.5028353249563,-2637.6387744065737,-2607.306504398682,-2412.8436533104623,-2460.629876593268,-2549.9765309354775,-2458.475184067709,-2591.7333908726837,-2476.0450109556486,-2227.5379066311066
CREB1,-356.10478321056684,46.93786397618213,-572.0211135691593,314.7789027552089,-572.1448253886117,-408.1853324732371,-692.7511960653869,-832.5014998653953,-605.0616611548892,-696.4858609860304,-823.8609255215954,-517.4435933731262,-860.4509027006343,-653.3927693732064,-647.3911197758421,-752.441400255089,-919.0321918353877,-427.6468791718078,-853.0811630832422,-505.6365898670999
CREB3,-1156.1972345256074,-683.3352116401517,-1176.0483072758225,-1329.8461537603978,-1258.8079002079908,-1062.9031839193244,-1220.5076600003986,-1169.997324069416,-1168.0470245454724,-1138.1370950111536,-1267.5489784595945,-1209.9793827065012,-986.7365911220007,-719.5859162700581,-1141.5831965028926,-1220.7891949968887,-1039.5957817303608,-1219.5391872157707,-1282.5520880219274,-1130.0244637676612
CREM,-1343.8297731562077,-1219.3951023813197,-1426.9364723191438,-1366.7373718381039,-1529.3160896067013,-1359.3566097315838,-1495.8807257404715,-1465.2073481856617,-1486.4453758129505,-1432.8494496561093,-1293.2679494597157,-1503.9977985751864,-1145.465127606019,-1177.941802017865,-1399.3631079699212,-1374.2326051544678,-1330.2051952472882,-1466.5160800662093,-1600.4346427619466,-1205.715982317665
CRX,-820.2011831005082,-491.78831243651126,-1094.2021866760138,-230.39415665971796,-869.6582933259776,-897.258677936629,-1102.8005592977058,-1191.574604678524,-1049.3855995379893,-1065.2205550374717,-1434.492400638654,-1080.0808934169088,-1265.779963987248,-839.300510953335,-970.8423332060353,-1154.237797018837,-1103.5453244920182,-993.9847917331559,-1129.420270184854,-873.4535910162357
CTCF,2860.22090020534,2234.156950452675,3227.6792205376214,2327.7658019603514,2981.2767671928777,3059.355036573942,3172.2489042568413,3151.408464823257,3262.928039998902,3104.8682428560946,2803.0162699024095,3385.821154283428,3251.815227371849,2912.3171996574924,2896.030894946457,3204.863598419323,3147.311140356855,3288.640537071463,3279.953971382992,2555.335788026971
CUX2,-2160.817701796714,-1654.0950158930643,-2586.548425959922,-1469.9056281987562,-2353.4376500676753,-2450.9253087544917,-2628.070118846291,-2676.1296251822223,-2615.9784731712048,-2562.7107641016205,-2445.6525727144003,-2561.1731657388173,-2722.9623377084154,-2421.902914444172,-2471.8717124805517,-2666.567759410269,-2641.6134532678752,-2529.1179221962607,-2688.4608824049374,-2054.395257719067
DBP,-2054.6801769869935,-1389.867523918262,-2465.562525460186,-1034.1907401964354,-2274.4275859036984,-2237.829954741635,-2484.7490023773516,-2590.381295071057,-2491.5349436811466,-2423.8052263037857,-2502.667022777758,-2508.4171880139174,-2616.4336863712438,-2089.5385130501445,-2344.3103021934535,-2506.0138784087544,-2573.814759291635,-2435.9997533844357,-2519.2025854388935,-1874.7919565501372
