tissueType,cellName,geneSymbolmore1
Pancreas,Acinar_cells,CTRB1;KLK1;RBPJL;PTF1A;CELA3A;PRSS1;SPINK1;ZG16;CEL;CELA2A;CPB1;CELA1;RNASE1;AMY2B;CPA2;CPA1;CELA3B;PNLIP;CTRB2;PLA2G1B;PRSS2;CLPS;REG1A;SYCN;PNLIPRP1;CTRC;REG3A;PRSS3;REG1B;CFB;GDF15;MUC1;C15orf48;AKR1C3;OLFM4;GSTA1;LGALS2;PDZK1IP1;RARRES2;CXCL17;GSTA2;ANPEP;LYZ;ANGPTL4;ALDOB
Pancreas,Alpha_cells,GCG;TTR;ARX;POU3F4;NKX2-2;RESP18;PYY;PCSK2;SLC38A5;TM4SF4;CRYBA2;NKX6-1;KCNK16;PCSK1;PRRG2;IRX2;ALDH1A1;PEMT;CHGA;SMIM24;F10;SCGN;SLC30A8;SH3GL2;SCGB2A1;FAP;DPP4;MAFB;PAX6;NEUROD1;PLCE1;GC;KLHL41;FEV;PTGER3;RFX6;SMARCA1;PGR;LDB2;IRX1;UCP2
Pancreas,Beta_cells,FXYD2;PDX1;INS;GCGR;JPH3;CD40;HAMP;EZH1;NTRK1;SLC2A2;NKX6-2;NPY;RIMS1;MAFA;EFNA5;LMX1A;NKX2-2;NKX6-1;PAX4;IAPP;PCSK2;G6PC2;SLC30A8;PCSK1;GJD2;SCGN;IGF2;SYT13;FFAR2;NPTX2;PFKFB2;EDARADD;HOPX;SH3GL2;ADCYAP1;SCGB2A1;CASR;MAFB;PAX6;NEUROD1;ISL1;TGFBR3;SMAD9;SIX3;SIX2;BMP5;PIR
Pancreas,Delta_cells,SST;PDX1;FFAR4;PCSK9;RBP4;PAX4;RESP18;HHEX;ISL1;SCGN;KCNK16;IAPP;FXYD2;NPTX2;GPC5-AS1;UCP2;LEPR;BAIAP3;MS4A8;CASR;BCHE;GABRB3;UNC5B;EDN3;PRG4;FRZB;PCSK1;GABRG2;POU3F1;BHLHE41;EHF;LCORL;ETV1
Pancreas,Ductal_cells,CFTR;HNF1B;KRT20;MUC1;ONECUT1;AMBP;HHEX;ANXA4;SPP1;PDX1;CFB;GDF15;AKR1C3;MMP7;DEFB1;SERPING1;TSPAN8;CLDN10;SLPI;SERPINA5;PIGR;CLDN1;LGALS4;PERP;PDLIM3;WFDC2;AQP1;ALDH1A3;KRT19;TFF1;TFF2
Pancreas,Endothelial_cells,PECAM1;CD34;MCAM;CDH5;VWF;ENG;KDR;PDPN;SELE;A2M
Pancreas,Epsilon_cells,GHRL;ANXA13;PHGR1;BMP4;HMGCS2;TM4SF5;OLFML3;ASGR1;COX6A2;NPY1R;SLC7A9;BHMT;OPRK1;PTGER4;ITGA4;EYA4;XYLB;ELOVL2;AFF3;CORIN;MYO1A;HRH2;SLC6A16;PCSK6;ADAMTS6;COL22A1;FAM124A;COL12A1;CD109;THSD4;ARX
Pancreas,Gamma_(PP)_cells,PPY;SCGN;FXYD2;SCGB2A1;GPC5-AS1;CMTM8;ARX;ETV1;PXK;SERTM1;SLITRK6;SEMA3E;APOBEC2;ABCC9;NEUROD1;PAX6;ISL1;CARTPT;THSD7A;AQP3;ENTPD2;PTGFR;CHN2;EGR3;LMO3;MEIS1;ZNF503
Pancreas,Macrophage,CD68;CD163;CSF1R
Pancreas,Mast_cells,KIT;ENPP3;IL2RA;ISG20;SLC18A2;CD9;FCER1A;TPSB2;FCER2
Pancreas,Mesenchymal_cells,ITGB1;NT5E;THY1;ENG;KIT;ALCAM
Pancreas,Pancreatic_progenitor_cells,ONECUT1;PDX1;PTF1A;CXCR4;ISL1;NKX2-2;EPAS1;ARX;NEUROG3;SOX9;RPL23A;CTNNB1;YAP1;RGS16;MFNG
Pancreas,Pancreatic_stellate_cells,TIMP1;RGS5;SPON2;GEM;DYNLT1;PDGFRB;KRT10;CYGB;CCN2;MMP14;NDUFA4L2;PDGFRA;INHBA;TGFB1
Pancreas,Peri-islet_Schwann_cells,MPZ;EGFL8;GFRA1;OLFML2A;GULP1;SLITRK6;VGLL3;GFRA3;INSC;SLITRK2;FIGN;LRRTM1;SEMA3B;NGFR;PNLIPRP1;GFRA2
Pancreas,B_cell,MS4A1;CD79A
Pancreas,T_cell,CD3D;CD3E
Pancreas,Neutrophil,S100A8;S100A9
Pancreas,Fibroblast,Dcn;Gsn;Clec3b;Gstm1
Pancreas,Pi16+_Fibroblast,Dcn;Gsn;Clec3b;Gstm1;Pi16
Pancreas,Col15a1+_Fibroblast,Dcn;Gsn;Clec3b;Gstm1;Col15a1
Pancreas,Neutrophil,S100A8;S100A9
Pancreas,Th2_cell,Il4;Il5;Il13
Pancreas,CD8+_T_cell,CD3D;CD3E;CD8A
